Date,User_ID,Page_Views,Clicks,Signups,Revenue
02-06-2025,U001,153,87,20,852.45
03-06-2025,U002,175,80,15,491.23
04-06-2025,U003,370,85,14,328.84
05-06-2025,U004,369,43,16,984.52
06-06-2025,U005,80,24,12,173.87
07-06-2025,U006,477,37,17,558.11
08-06-2025,U007,55,95,3,924.99
09-06-2025,U008,237,96,2,109.4
10-06-2025,U009,485,56,12,492.72
11-06-2025,U010,482,32,11,870.83
12-06-2025,U011,274,66,17,679.33
13-06-2025,U012,305,83,2,651.47
14-06-2025,U013,134,30,13,226
15-06-2025,U014,167,18,11,346.61
16-06-2025,U015,173,77,4,699.02
17-06-2025,U016,430,30,4,888.48
18-06-2025,U017,159,27,14,903.3
19-06-2025,U018,93,51,16,734.51
20-06-2025,U019,178,70,8,757.63
21-06-2025,U020,159,39,1,551.14
22-06-2025,U021,375,16,15,636.04
23-06-2025,U022,393,98,7,895.22
24-06-2025,U023,223,79,2,296.72
25-06-2025,U024,303,16,2,375.21
26-06-2025,U025,287,18,2,135.12
27-06-2025,U026,203,64,2,386.74
28-06-2025,U027,304,21,15,550.76
29-06-2025,U028,492,88,2,947.1
30-06-2025,U029,138,56,12,307.89
01-07-2025,U030,71,95,12,742.91
02-07-2025,U031,200,96,16,600.27
03-07-2025,U032,241,63,6,587.05
04-07-2025,U033,384,80,17,966.41
05-07-2025,U034,397,71,7,505.4
06-07-2025,U035,350,65,18,169.87
07-07-2025,U036,393,72,11,604.69
08-07-2025,U037,127,12,5,442.35
09-07-2025,U038,183,18,9,707.07
10-07-2025,U039,500,22,11,908.24
11-07-2025,U040,254,19,18,842.44
12-07-2025,U041,403,52,10,270.01
13-07-2025,U042,75,70,0,744.25
14-07-2025,U043,499,15,1,161.1
15-07-2025,U044,470,56,15,915.48
16-07-2025,U045,105,60,7,987.15
17-07-2025,U046,333,91,15,804.98
18-07-2025,U047,200,23,11,576.23
19-07-2025,U048,311,48,1,118.32
20-07-2025,U049,106,95,3,431.61
21-07-2025,U050,493,67,14,842.57
22-07-2025,U051,420,54,0,501.16
23-07-2025,U052,206,22,20,471.52
24-07-2025,U053,394,99,17,413.51
25-07-2025,U054,167,10,9,907.39
26-07-2025,U055,127,84,5,148.79
27-07-2025,U056,493,90,16,705.1
28-07-2025,U057,378,72,18,327.36
29-07-2025,U058,335,44,10,664
30-07-2025,U059,269,56,9,622.3
31-07-2025,U060,225,85,3,160.03
01-08-2025,U061,344,68,17,223.75
02-08-2025,U062,96,97,19,467.92
03-08-2025,U063,117,69,6,566.29
04-08-2025,U064,421,49,0,868.18
05-08-2025,U065,287,71,20,384.81
06-08-2025,U066,100,14,13,519.67
07-08-2025,U067,242,42,12,449.28
08-08-2025,U068,62,70,15,922.83
09-08-2025,U069,317,15,6,847.96
10-08-2025,U070,251,99,1,479.08
11-08-2025,U071,461,27,1,132.13
12-08-2025,U072,231,38,3,526.15
13-08-2025,U073,313,90,10,471.38
14-08-2025,U074,323,22,20,203.61
15-08-2025,U075,193,64,13,838.52
16-08-2025,U076,442,12,19,458.56
17-08-2025,U077,121,77,7,274.12
18-08-2025,U078,450,69,15,288.07
19-08-2025,U079,297,23,10,128.41
20-08-2025,U080,357,12,1,581.84
21-08-2025,U081,97,52,12,511.99
22-08-2025,U082,219,81,20,310.3
23-08-2025,U083,249,71,3,517.96
24-08-2025,U084,269,20,2,305.78
25-08-2025,U085,354,10,6,687.44
26-08-2025,U086,71,93,18,568.17
27-08-2025,U087,200,94,16,325.1
28-08-2025,U088,110,51,19,897.97
29-08-2025,U089,64,41,3,126.83
30-08-2025,U090,409,31,10,329.19
31-08-2025,U091,350,42,11,327.33
01-09-2025,U092,327,43,9,367.74
02-09-2025,U093,354,34,3,385.17
03-09-2025,U094,326,30,18,613.89
04-09-2025,U095,256,18,15,793.21
05-09-2025,U096,69,44,14,492.9
06-09-2025,U097,427,47,4,445.57
07-09-2025,U098,62,28,6,420.31
08-09-2025,U099,195,60,12,315.09
09-09-2025,U100,429,61,16,952.86
