epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3862,1.6036,4.35431,1.51889,0.00171,0.21875,0.00388,0.00218,1.51062,4.44681,1.5078,4e-05,4e-05,4e-05
2,42.174,1.34062,3.8577,1.40933,0.00203,0.26042,0.0156,0.01016,1.45653,4.32351,1.40837,9.901e-05,9.901e-05,9.901e-05
3,61.2016,1.38423,3.63059,1.27133,0.00228,0.29167,0.0272,0.01962,1.41865,4.20184,1.30112,0.000156832,0.000156832,0.000156832
4,80.0654,0.97478,3.16284,1.13378,0.00276,0.35417,0.02836,0.01624,1.43459,4.05263,1.21526,0.000213466,0.000213466,0.000213466
5,99.26,1.06499,2.88171,1.06039,0.00289,0.36979,0.03128,0.01821,1.44143,4.00902,1.18132,0.000268912,0.000268912,0.000268912
6,118.277,1.0805,2.54188,1.07445,0.00346,0.44271,0.05478,0.02657,1.55095,3.91425,1.18733,0.00032317,0.00032317,0.00032317
7,137.94,1.12776,2.39414,1.03472,0.00382,0.48958,0.05744,0.03199,1.57851,3.85749,1.18821,0.00037624,0.00037624,0.00037624
8,154.841,1.05898,2.31981,1.03569,0.00407,0.52083,0.05699,0.03172,1.58516,3.83105,1.18349,0.000428122,0.000428122,0.000428122
9,172.804,1.28769,2.41227,1.07335,0.00431,0.55208,0.04899,0.02799,1.57202,3.81202,1.18813,0.000478816,0.000478816,0.000478816
10,190.887,1.04404,2.19496,0.97575,0.00439,0.5625,0.04508,0.02538,1.56628,3.84274,1.20579,0.000528322,0.000528322,0.000528322
11,208.483,1.18185,2.21413,1.04475,0.00443,0.56771,0.04318,0.02231,1.59737,3.90181,1.23897,0.00057664,0.00057664,0.00057664
12,224.504,1.14054,2.19955,1.05741,0.00443,0.56771,0.03949,0.01839,1.63282,3.93315,1.25599,0.00062377,0.00062377,0.00062377
13,240.347,0.98731,1.90275,1.02056,0.41122,0.01042,0.02763,0.01455,1.6697,3.85598,1.27984,0.000669712,0.000669712,0.000669712
14,255.869,1.16152,2.0724,1.06566,1,0.01018,0.06605,0.03148,1.77081,3.80024,1.32024,0.000714466,0.000714466,0.000714466
15,271.402,1.14807,1.92141,1.08203,1,0.01018,0.06605,0.03148,1.77081,3.80024,1.32024,0.000758032,0.000758032,0.000758032
16,286.958,1.34638,1.76342,1.06002,0.7682,0.01752,0.10202,0.04514,1.81749,3.78844,1.35462,0.00080041,0.00080041,0.00080041
17,302.675,1.19296,1.61146,1.06888,0.80122,0.01562,0.11899,0.04809,1.85134,3.8152,1.43165,0.0008416,0.0008416,0.0008416
18,318.807,1.17882,1.93683,0.98732,0.80122,0.01562,0.11899,0.04809,1.85134,3.8152,1.43165,0.000881602,0.000881602,0.000881602
19,334.341,1.15003,1.70503,0.99577,0.69377,0.01211,0.09392,0.03919,1.83059,3.89471,1.45888,0.000920416,0.000920416,0.000920416
20,352.21,1.20445,1.6651,1.04197,0.45415,0.02083,0.06683,0.02359,1.85892,3.84235,1.46674,0.000958042,0.000958042,0.000958042
21,369.117,1.36132,1.88452,1.05075,0.45415,0.02083,0.06683,0.02359,1.85892,3.84235,1.46674,0.00099448,0.00099448,0.00099448
22,385.021,1.13483,1.63593,1.0371,0.52573,0.04167,0.08248,0.02897,1.96408,3.79755,1.52107,0.00102973,0.00102973,0.00102973
23,400.085,1.21451,1.69954,0.99798,0.52573,0.04167,0.08248,0.02897,1.96408,3.79755,1.52107,0.00106379,0.00106379,0.00106379
24,415.915,1.09175,1.97586,1.02764,0.45395,0.0625,0.07866,0.02434,2.0845,3.65648,1.60126,0.00109667,0.00109667,0.00109667
